id,FalseSent,ref1,ref2,ref3
1948,وضع الغاز في قهوته.,لا يمكنه شرب الغازات.,الغاز لا ينتمي للقهوة,الغاز سام إذا تم استهلاكه.
1949,يستخدم العنف لدفع ثمن المنتجات والخدمات,استخدام العنف مخالف للقانون,لا يمكن للعنف أن يدفع ثمن المنتجات والخدمات.,يمكن استخدام المال فقط للدفع
1950,يتغير لون اللحاء على الأشجار في الخريف,تموت الأوراق في الخريف مما يؤدي إلى فقدان الصباغ,اللحاء على الأشجار لا يغير الألوان.,لا يتغير لون اللحاء على الأشجار مع المواسم.
1951,منزل له أسلحة.,المنزل ليس به سلاح.,المنزل له أبواب ونوافذ فقط,البيت ليس لديه أسلحة.
1952,يستخدم الأطفال الحقائب الجلدية لحمل اللوازم المدرسية,الحقائب الجلدية حساسة وغير مريحة للأطفال,عادةً ما يستخدم الأطفال حقائب الظهر لحمل اللوازم المدرسية الخاصة بهم.,لا تستخدم الحقائب الجلدية في حمل اللوازم المدرسية الخاصة بهم.
1953,أخرج جيمس ابنه من السرقة وأنهى مسيرته المسائية.,ابن جيمس لا يرتدي أي تسريب حول رقبته.,جيمس ابن ليس كلبا يذهب مع مسيرته,ليس من المفترض أن يظل البشر مقيدين
1954,لقد استخدمت الإعصار للبحث عن أسعار المساكن.,الأعاصير هي عواصف ولا يمكن استخدامها للبحث عن أسعار المساكن.,إعصار لا يظهر سعر المنزل أبدًا,لا يُظهر HURRICANE أي معلومات
1955,شربني الماء في الصباح,الإنسان يشرب الماء والماء لا يشرب الإنسان,الماء لا يشرب الناس.,الماء لا يشرب الناس
1956,إذا كنت تريد الاتصال بصديق ، فأنت بحاجة إلى مشغل بلوراي.,يتم استخدام مشغلات Bluray لمشاهدة الأفلام ، وليس للاتصال بأشخاص آخرين.,لا يمكنك استدعاء صديق بالصلاة.,لا يمكن استخدام مشغل Bluray لإجراء مكالمات.
1957,كان يرتدي جزازة العشب في الكنيسة,يمكن ارتداء بدلة وتقطيع جزازة العشب.,جزازة العشب هي آلة,لا يجب ارتداء جزازة العشب
1958,وضعت جيسيكا السيارة في الميكروويف.,لا يمكن أن تتسع السيارة للميكروويف القياسي.,السيارات لا تناسب الميكروويف.,لا يمكن وضع السيارة في الميكروويف.
1959,توجد أنواع مختلفة من الزرافات متوقفة في مواقف السيارات.,لا يمكن ركن الزرافات.,الزرافات في أفريقيا وحدائق الحيوان لأنها حيوان ، لا يمكنك ركنها.,الزرافات لا تقف.
1960,الشمس تجعلك تتجمد,الشمس شديدة الحرارة لدرجة تجعلك تتجمد,تجعلك الشمس أكثر دفئًا وليس أبرد,لا تجعل الشمس تجمد.
1961,ذهب الصبي للعمل مع سفينته الفضائية,لا يمكن استخدام مركبة فضائية للذهاب إلى العمل,لا تستخدم السفينة الفضائية للذهاب إلى العمل.,ذهب الصبي للعمل مع السيارة
1962,أكلت حذاء الباليه الخاص بها.,لا تستطيع أن تأكل أحذية الباليه,الأحذية غير قابلة للأكل,أحذية الباليه مصنوعة من مواد غير صالحة للأكل.
1963,سيارة تستخدم للتزلج.,لا تستخدم السيارات للتزلج,لا يمكن أن يتم التزلج بالسيارة.,السيارات للقيادة.
1964,يمكن بناء جسور لتوصيل سلك,عادة ما يتم بناء الجسور لربط الأماكن المعزولة,الأسلاك متصلة من خلال الموصلات,الجسور ليست جسما كهربائيا
1965,ركلت كرة القدم بيدها.,تستخدم القدم لركل الكرات وليس اليد.,يتم تنفيذ الركل بالقدم.,لا يمكنك ركل كرة القدم بيدك.
1966,ذهبت إلى فرنسا في أمريكا الجنوبية.,مقاطعة فرنسا غير موجودة في أمريكا الجنوبية.,لا تقع فرنسا في أمريكا الجنوبية.,فرنسا مكان لا يقع في أمريكا الجنوبية.
1967,الفئران تصطاد الطيور والقطط,الفئران ليست صيادين ، هم زبالون,القطط حيوانات مفترسة طبيعية للفئران والطيور.,الفئران لا تصطاد الطيور والقطط.
1968,يجب عليك دفع فاتورة السباكة حتى يكون لديك تلفزيون يعمل,تتعلق السباكة بالمياه التي لا تؤثر على جهاز التلفزيون,السباكة للمياه وليست الكهرباء اللازمة للتلفزيون.,فاتورة السباكة لا علاقة لها بالتلفزيون
1969,كان يرتدي صندوق بريده.,يمكن ارتداء الساعة ولكن لا يمكن ارتداء صندوق البريد.,لا يمكن ارتداء صندوق البريد.,صندوق البريد ليس ملحقًا يرتدي
1970,لا يمكن أن تنتهي المباراة حتى سجل الفريق الهدف.,تنتهي الألعاب عندما يحين الوقت وليس عندما يسجل فريق هدفًا.,لا تستمر اللعبة حتى يسجل شخص ما ، بل تستمر حتى نفاد الوقت.,اللعبة تعتمد على الوقت فقط
1971,لقد استخدمت فيل لتركب سيارتها,لا يمكن استخدام الفيلة لفتح أبواب السيارة.,الفيل ليس مفتاحًا لاستخدامه في سيارتها,لن يتسع الفيل في السيارة.
1972,فتحت القمر لأجعله أكثر إشراقًا.,لا يمكن تشغيل القمر وإيقافه.,لا يمكنك تشغيل القمر,لا يستطيع البشر التحكم في القمر.
1973,يقوم بجمع أوراق الشجر في الفناء الخلفي لمنزله في الربيع.,الخريف هو الموسم الذي تسقط فيه الأوراق من الأشجار.,لا يمكن للأوراق أن تحلق في الربيع.,سقوط أوراق الشجر في الخريف وليس في فصل الربيع لذلك لا يستطيع جرف أوراق الشجر في الربيع.
1974,جلست في الفصل أستمع إلى موسيقى الروك.,لا يمكن الاستماع إلى موسيقى الروك ولا تقوم بتدريس الفصول الدراسية.,الصخور غير موجودة في الفصل,الصخرة لا تعلم مادة
1975,رأى فيل أخضر,لا يوجد فيل أخضر,لون الفيل ليس أخضر,الفيلة ليست ملونة باللون الأخضر.
1976,هدد الرجل بقميص.,القميص ليس شيئًا يمكن أن يهدد الإنسان.,القميص ليس سلاحًا ولا يمكن استخدامه لتهديد شخص ما.,القميص لا يهدد.
1977,شربت المرأة بول الكلب بعد انتهاء صلاحيته.,معظم الناس لا يشربون بول الكلب ولا يوجد تاريخ انتهاء صلاحية محدد لبول الكلب.,بول الكلب ليس شيئا تشربه,طعم البول سيء وضار بالنسبة لك
1978,اقتحمت الغرفة المنزل.,لا يمكن للغرفة الدخول في أي شيء. جزء من المنزل,لا يمكن للغرفة أن تتحرك بنفسها,المنزل أكبر بكثير من الغرفة.
1979,الدلفين حيوان قد تجده على سطح القمر.,تعيش الدلافين على الأرض في بيئة مائية وتتنفس الهواء بينما القمر ليس له مادة ولا هواء.,القمر ليس لديه ظروف معيشية,تعيش الدلافين في المحيط.
1980,لقد أكلت هاتف خلوي مخبوز.,يمكن أكل السمك المشوي ولكن لا يمكن تناوله بواسطة الهاتف الخلوي.,الهواتف المحمولة ليست للأكل.,الهاتف الخليوي ليس سمكة للأكل
1981,أجهزة الكمبيوتر تأكل الموز.,الكمبيوتر عبارة عن آلات من صنع الإنسان لذا فهم لا يأكلون والموز طعام.,أجهزة الكمبيوتر لا تأكل,أجهزة الكمبيوتر لا تأكل.
